Country,Total_Cases,Total_Cases_Per_Million,Total_Deaths,Total_Deaths_Per_Million,Total_Vaccinations,Total_Vaccinations_Per Million
Afghanistan,209181.0,5086.002,7896.0,191.982,13603457.0,
Albania,334336.0,117627.936,3598.0,1265.868,,
Algeria,271431.0,6044.799,6881.0,153.241,,
Andorra,47866.0,599501.522,165.0,2066.556,,
Angola,105205.0,2956.11,1931.0,54.258,24174309.0,
Anguilla,3904.0,245890.282,12.0,755.81,24489.0,
Antigua and Barbuda,9106.0,97107.879,146.0,1556.968,,
Argentina,10043308.0,220681.971,130458.0,2866.558,114548471.0,
Armenia,446819.0,160698.975,8721.0,3136.518,,
Aruba,44026.0,413548.878,282.0,2648.907,174375.0,
Australia,11347698.0,433492.007,19265.0,735.94,,
Austria,5878713.0,657602.334,21848.0,2443.953,,
Azerbaijan,828426.0,79978.737,10108.0,975.857,,
Bahamas,37491.0,91443.917,833.0,2031.762,,
Bahrain,705444.0,479164.7,1548.0,1051.461,,
Bangladesh,2037773.0,11903.828,29445.0,172.006,354659926.0,
Barbados,106645.0,378649.084,575.0,2041.57,381633.0,
Belarus,994037.0,104251.871,7118.0,746.516,,
Belgium,4708273.0,403938.238,33663.0,2888.06,29620722.0,
Belize,70740.0,174543.84,688.0,1697.571,502178.0,
Benin,27990.0,2096.18,163.0,12.207,,
Bermuda,18799.0,292787.391,160.0,2491.94,,
Bhutan,62615.0,80023.567,21.0,26.839,,
Bolivia,1192283.0,97535.331,22362.0,1829.335,,
Bosnia and Herzegovina,401575.0,124190.9,16278.0,5034.127,,
Botswana,329662.0,125332.472,2801.0,1064.898,3171667.0,
Brazil,36997328.0,171830.04,698382.0,3243.559,484988616.0,
British Virgin Islands,7305.0,233148.219,64.0,2042.64,,
Brunei,277992.0,619133.1,225.0,501.111,,
Bulgaria,1296450.0,191161.693,38208.0,5633.774,4608477.0,
Burkina Faso,22056.0,972.754,396.0,17.465,5856003.0,
Burundi,53609.0,4159.095,38.0,2.948,34493.0,
Cambodia,138713.0,8272.557,3056.0,182.254,46003730.0,
Cameroon,124328.0,4453.879,1965.0,70.393,4272224.0,
Canada,4595042.0,119493.494,51253.0,1332.828,,
Cape Verde,63240.0,106615.056,413.0,696.268,,
Cayman Islands,31472.0,457961.061,37.0,538.401,,
Central African Republic,15368.0,2754.542,113.0,20.254,,
Chad,7675.0,433.045,194.0,10.946,6368186.0,
Chile,5154016.0,262909.886,64109.0,3270.244,,
China,2023904.0,1419.4,87468.0,61.343,3491077000.0,
Colombia,6356468.0,122536.619,142296.0,2743.107,,
Comoros,8998.0,10753.087,161.0,192.404,,
Congo,25077.0,4200.2,388.0,64.987,,
Cook Islands,7020.0,412165.336,2.0,117.426,40854.0,
Costa Rica,1199055.0,231440.447,9214.0,1778.477,,
Cote d'Ivoire,88138.0,3129.84,834.0,29.616,25263932.0,
Croatia,1268666.0,314777.262,17950.0,4453.695,5360084.0,
Cuba,1112561.0,99227.734,8530.0,760.779,43614510.0,
Curacao,45986.0,240546.521,301.0,1574.49,,
Cyprus,647031.0,722127.171,1297.0,1447.533,,
Czechia,4604427.0,438768.0,42397.0,4040.122,18615864.0,
Democratic Republic of Congo,95646.0,966.022,1464.0,14.786,12474117.0,
Denmark,3402710.0,578469.938,8239.0,1400.652,13145167.0,
Djibouti,15690.0,13998.292,189.0,168.622,385621.0,
Dominica,15760.0,216608.483,74.0,1017.07,,
Dominican Republic,660533.0,58824.787,4384.0,390.424,16229237.0,
Ecuador,1056578.0,58695.51,36008.0,2000.333,39485025.0,
Egypt,515698.0,4646.342,24809.0,223.524,104508139.0,
El Salvador,201785.0,31845.405,4230.0,667.572,,
England,,,,,144754288.0,
Equatorial Guinea,17229.0,10286.486,183.0,109.259,,
