Country,Manufacturer,Total Vaccinations
Argentina,CanSino,20003480
Argentina,Moderna,264006097
Argentina,Oxford/AstraZeneca,428412557
Argentina,Pfizer/BioNTech,400651222
Argentina,Sinopharm/Beijing,605972331
Argentina,Sputnik V,434441898
Austria,Johnson&Johnson,1104511
Austria,Moderna,4891640
Austria,Novavax,38940
Austria,Oxford/AstraZeneca,3186129
Austria,Pfizer/BioNTech,46224572
Austria,Valneva,25
Belgium,Johnson&Johnson,1284866
Belgium,Moderna,12893849
Belgium,Novavax,1052
Belgium,Pfizer/BioNTech,54577552
Belgium,Oxford/AstraZeneca,2849221
Bulgaria,Johnson&Johnson,1577319
Bulgaria,Moderna,1519012
Bulgaria,Pfizer/BioNTech,8997660
Canada,Johnson&Johnson,22748
Canada,Medicago,863
Canada,Moderna,24803177
Canada,Novavax,21948
Canada,Oxford/AstraZeneca,2813475
Canada,Pfizer/BioNTech,59570614
Chile,Pfizer/BioNTech,169265634
Chile,Sinovac,544614643
Croatia,Johnson&Johnson,612101
Croatia,Moderna,1540789
Croatia,Novavax,4041
Croatia,Pfizer/BioNTech,11902729
Croatia,Oxford/AstraZeneca,568518
Cyprus,Johnson&Johnson,92789
Cyprus,Novavax,2418
Cyprus,Pfizer/BioNTech,3776282
Czechia,Johnson&Johnson,7018001
Czechia,Moderna,33967423
Czechia,Novavax,176095
Czechia,Pfizer/BioNTech,313366785
Czechia,Sinovac,346
Czechia,Oxford/AstraZeneca,1773555
Denmark,Johnson&Johnson,137791
Denmark,Moderna,5146208
Denmark,Oxford/AstraZeneca,311875
Denmark,Pfizer/BioNTech,30948759
Estonia,Johnson&Johnson,236105
Estonia,Moderna,477576
Estonia,Novavax,4681
Estonia,Oxford/AstraZeneca,238919
Estonia,Pfizer/BioNTech,4651079
Finland,Moderna,6091183
Finland,Pfizer/BioNTech,30137367
Finland,Oxford/AstraZeneca,553903
France,Johnson&Johnson,21807802
France,Moderna,502198283
France,Novavax,645381
France,Pfizer/BioNTech,2443305782
Germany,Johnson&Johnson,78769667
Germany,Moderna,660799113
Germany,Novavax,2938964
Germany,Pfizer/BioNTech,2864982805
Germany,Oxford/AstraZeneca,153630651
Hong_Kong,Pfizer/BioNTech,223978211
Hong_Kong,Sinovac,162794652
Hungary,Johnson&Johnson,1030064
Hungary,Moderna,3233329
Hungary,Pfizer/BioNTech,28986475
Hungary,Sinopharm/Beijing,6938061
Ireland,Johnson&Johnson,483153
Ireland,Moderna,4646873
Ireland,Novavax,1385
Ireland,Oxford/AstraZeneca,3652934
Ireland,Pfizer/BioNTech,25730423
Italy,Moderna,616158692
Italy,Novavax,727896
Italy,Pfizer/BioNTech,1936828292
Italy,Johnson&Johnson,3016261
Japan,Moderna,1554455107
Japan,Novavax,3207167
Japan,Pfizer/BioNTech,4985101779
Japan,Oxford/AstraZeneca,1059113
Liechtenstein,Moderna,139667
Liechtenstein,Pfizer/BioNTech,43298
Lithuania,Johnson&Johnson,887132
Lithuania,Moderna,987633
Lithuania,Pfizer/BioNTech,9965085
Luxembourg,Moderna,1010606
Luxembourg,Novavax,1390
Luxembourg,Pfizer/BioNTech,2153830
Luxembourg,Johnson&Johnson,41509
Malta,Moderna,835928
Malta,Pfizer/BioNTech,2198444
Malta,Oxford/AstraZeneca,455709
Malta,Johnson&Johnson,32400
Netherlands,Johnson&Johnson,2265384
Netherlands,Moderna,25293927
Netherlands,Novavax,7799
Netherlands,Pfizer/BioNTech,68045924
Norway,Moderna,6962716
Norway,Oxford/AstraZeneca,444250
Norway,Pfizer/BioNTech,27460880
Norway,Johnson&Johnson,7375
Peru,Moderna,88821645
Peru,Oxford/AstraZeneca,79757386
Peru,Pfizer/BioNTech,1033702956
Peru,Sinopharm/Beijing,443883555
Poland,Johnson&Johnson,8153568
Poland,Moderna,11063327
Poland,Novavax,39870
Poland,Oxford/AstraZeneca,15876858
Poland,Pfizer/BioNTech,121071328
Portugal,Johnson&Johnson,3415988
Portugal,Moderna,11075666
Portugal,Novavax,197
Portugal,Oxford/AstraZeneca,6827770
Portugal,Pfizer/BioNTech,48083008
Portugal,Sinopharm/Beijing,9078
Portugal,Sinovac,16801
Slovakia,Johnson&Johnson,558532
Slovakia,Moderna,2034208
Slovakia,Novavax,10572
Slovakia,Pfizer/BioNTech,15390793
Slovenia,Moderna,707514
Slovenia,Novavax,549
Slovenia,Pfizer/BioNTech,6742123
Slovenia,Johnson&Johnson,271435
South_Africa,Johnson&Johnson,192549351
South_Africa,Pfizer/BioNTech,592215646
South_Korea,Johnson&Johnson,22726429
South_Korea,Moderna,241808115
South_Korea,Novavax,4816424
South_Korea,Pfizer/BioNTech,1096769049
Spain,Moderna,72374696
Spain,Pfizer/BioNTech,201113075
Spain,Johnson&Johnson,1981617
Sweden,Moderna,12199920
Sweden,Novavax,19288
Sweden,Pfizer/BioNTech,48196079
Switzerland,Johnson&Johnson,1120993
Switzerland,Moderna,208034226
Switzerland,Novavax,4140
Switzerland,Pfizer/BioNTech,119393779
United_States,Johnson&Johnson,56568304
United_States,Moderna,686353816
United_States,Novavax,36315
United_States,Pfizer/BioNTech,1077820079
Uruguay,Oxford/AstraZeneca,91196
Uruguay,Pfizer/BioNTech,45961990
Uruguay,Sinovac,3248196
European_Union,Covaxin,2583
European_Union,Johnson&Johnson,391896307
European_Union,Moderna,3203695006
European_Union,Novavax,5620997
European_Union,Oxford/AstraZeneca,1411001607
European_Union,Pfizer/BioNTech,13243219458
European_Union,Sanofi/GSK,0
European_Union,Sinopharm/Beijing,48662572
European_Union,Sinovac,183856
European_Union,Sputnik V,38752896
European_Union,Valneva,125
