location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Argentina,2023-02-11,12-17,91.95,65.08,41.55
Argentina,2023-02-11,18-29,97.91,83.61,53.12
Argentina,2023-02-11,3-11,84.19,67.46,13.05
Argentina,2023-02-11,30-39,99.93,89.93,74.25
Argentina,2023-02-11,40-49,99.39,90.58,95.32
Argentina,2023-02-11,50-59,97.05,79.83,109.99
Argentina,2023-02-11,60-69,99.63,76.99,133.57
Argentina,2023-02-11,70-79,97.8,83.95,147.49
Argentina,2023-02-11,80-89,93.14,86.46,128.65
Argentina,2023-02-11,90-99,82.96,76.65,107.42
Australia,2023-02-10,12-15,81.23,75.84,
Australia,2023-02-10,16-19,93.77,91.85,
Australia,2023-02-10,20-29,89.92,87.85,
Australia,2023-02-10,30-39,96.37,94.57,
Australia,2023-02-10,40-49,96.96,95.77,
Australia,2023-02-10,50-59,98.41,97.43,
Australia,2023-02-10,60-69,101.56,100.45,
Australia,2023-02-10,70-79,106.91,106.07,
Australia,2023-02-10,80-89,105.98,105.26,
Australia,2023-02-10,90+,98.31,96.98,
Austria,2023-02-03,0-4,2.15,1.8,0.52
Austria,2023-02-03,10-14,48.65,45.29,17.97
Austria,2023-02-03,15-17,79.06,74.66,40.81
Austria,2023-02-03,18-24,82.79,78.56,56.73
Austria,2023-02-03,25-49,81.73,78.64,61.23
Austria,2023-02-03,5-9,24.66,22.47,5.55
Austria,2023-02-03,50-59,85.7,83.91,73.24
Austria,2023-02-03,60-69,91.07,89.8,82.03
Austria,2023-02-03,70-79,90.68,89.67,83.74
Austria,2023-02-03,80+,102.85,100.3,90.23
Belgium,2023-02-03,0-17,37.13,36.13,6.83
Belgium,2023-02-03,18-24,84.13,82.89,59.72
Belgium,2023-02-03,25-49,85.81,84.89,66.15
Belgium,2023-02-03,50-59,91.97,91.51,82.04
Belgium,2023-02-03,60-69,96.14,95.74,90.05
Belgium,2023-02-03,70-79,100.32,99.8,95.58
Belgium,2023-02-03,80+,102.39,100.96,93.49
Bulgaria,2023-02-10,0-17,2.4,2.33,0.18
Bulgaria,2023-02-10,18-24,28.92,28.54,4.8
Bulgaria,2023-02-10,25-49,34.0,33.56,8.61
Bulgaria,2023-02-10,50-59,39.53,39.05,15.03
Bulgaria,2023-02-10,60-69,42.22,41.64,22.69
Bulgaria,2023-02-10,70-79,40.48,40.04,26.8
Bulgaria,2023-02-10,80+,26.66,26.33,17.68
Cyprus,2023-02-03,10-14,34.9,32.89,1.01
Cyprus,2023-02-03,15-17,60.2,59.25,3.36
Cyprus,2023-02-03,18-24,77.41,74.65,39.58
Cyprus,2023-02-03,25-49,85.14,83.71,59.84
Cyprus,2023-02-03,5-9,9.27,8.32,0.02
Cyprus,2023-02-03,50-59,87.52,86.7,74.45
Cyprus,2023-02-03,60-69,91.44,90.67,83.19
Cyprus,2023-02-03,70-79,96.3,95.0,91.33
Cyprus,2023-02-03,80+,97.56,94.16,86.6
Czechia,2023-02-03,0-4,0.01,0.01,0.0
Czechia,2023-02-03,10-14,32.96,31.92,4.88
Czechia,2023-02-03,15-17,64.23,63.04,16.08
Czechia,2023-02-03,18-24,71.12,69.75,26.32
Czechia,2023-02-03,25-49,67.24,66.34,34.99
Czechia,2023-02-03,5-9,5.74,5.16,0.1
Czechia,2023-02-03,50-59,77.74,77.21,54.01
Czechia,2023-02-03,60-69,81.59,81.12,66.52
Czechia,2023-02-03,70-79,91.16,90.47,78.86
Czechia,2023-02-03,80+,91.57,89.93,75.54
Denmark,2023-02-10,18-24,85.1,84.23,55.9
Denmark,2023-02-10,25-49,85.91,86.79,63.75
Denmark,2023-02-10,50-59,94.56,94.24,88.3
Denmark,2023-02-10,60-69,98.06,97.82,95.11
Denmark,2023-02-10,70-79,98.98,98.84,97.78
Denmark,2023-02-10,80+,105.61,105.44,104.75
Estonia,2023-02-03,0-17,17.24,16.15,1.8
Estonia,2023-02-03,18-24,73.29,72.39,28.37
Estonia,2023-02-03,25-49,68.47,68.07,34.58
Estonia,2023-02-03,50-59,75.67,75.33,47.51
Estonia,2023-02-03,60-69,78.08,77.54,55.43
Estonia,2023-02-03,70-79,84.81,83.96,66.46
Estonia,2023-02-03,80+,87.71,86.17,65.29
Finland,2023-02-10,10-14,69.56,57.27,1.77
Finland,2023-02-10,15-17,90.33,84.49,7.72
Finland,2023-02-10,18-24,86.4,81.24,35.25
Finland,2023-02-10,25-49,87.33,83.98,52.62
Finland,2023-02-10,5-9,24.02,12.53,0.0
Finland,2023-02-10,50-59,92.54,90.84,75.41
Finland,2023-02-10,60-69,94.57,93.55,86.21
Finland,2023-02-10,70-79,97.09,96.85,93.29
Finland,2023-02-10,80+,96.26,96.85,95.27
France,2023-02-03,0-17,31.82,27.99,6.6
France,2023-02-03,18-24,96.7,90.02,65.64
France,2023-02-03,25-49,94.11,89.08,67.67
France,2023-02-03,50-59,94.6,91.75,80.4
France,2023-02-03,60-69,93.25,91.23,84.39
France,2023-02-03,70-79,95.38,93.74,88.32
France,2023-02-03,80+,89.34,87.09,78.63
Hong Kong,2023-02-19,0-19,73.95,68.88,40.57
Hong Kong,2023-02-19,20-29,92.1,90.62,74.08
Hong Kong,2023-02-19,30-39,99.22,98.06,82.46
Hong Kong,2023-02-19,40-49,103.3,102.7,92.25
Hong Kong,2023-02-19,50-59,97.69,97.08,89.66
Hong Kong,2023-02-19,60-69,92.35,91.83,87.28
Hong Kong,2023-02-19,70-79,87.57,87.27,85.05
Hong Kong,2023-02-19,80+,74.87,72.83,67.06
Hungary,2023-02-03,0-17,25.6,24.41,3.28
Hungary,2023-02-03,18-24,58.97,54.76,27.16
Hungary,2023-02-03,25-49,68.84,65.99,35.88
Hungary,2023-02-03,50-59,76.56,74.75,50.29
Hungary,2023-02-03,60-69,82.7,81.16,63.64
Hungary,2023-02-03,70-79,86.99,85.92,74.52
Hungary,2023-02-03,80+,77.09,75.9,63.99
Ireland,2023-02-03,10-14,48.99,47.02,7.77
Ireland,2023-02-03,15-17,83.72,82.45,34.28
Ireland,2023-02-03,18-24,90.2,88.85,54.0
Ireland,2023-02-03,25-49,91.03,90.07,65.42
Ireland,2023-02-03,5-9,18.86,17.43,0.03
Ireland,2023-02-03,50-59,100.7,100.23,88.25
Ireland,2023-02-03,60-69,102.31,101.72,95.48
Ireland,2023-02-03,70-79,111.29,110.68,106.77
Ireland,2023-02-03,80+,123.27,121.76,113.9
Ireland,2023-02-10,10-14,48.99,47.03,7.79
Ireland,2023-02-10,15-17,83.73,82.45,34.3
Ireland,2023-02-10,18-24,90.2,88.85,54.02
Ireland,2023-02-10,25-49,91.03,90.08,65.45
Ireland,2023-02-10,5-9,18.87,17.44,0.03
Ireland,2023-02-10,50-59,100.7,100.24,88.26
Ireland,2023-02-10,60-69,102.31,101.72,95.49
Ireland,2023-02-10,70-79,111.29,110.68,106.78
Ireland,2023-02-10,80+,123.27,121.76,113.9
Ireland,2023-02-17,10-14,48.99,47.03,7.79
Ireland,2023-02-17,15-17,83.73,82.45,34.3
Ireland,2023-02-17,18-24,90.2,88.85,54.02
Ireland,2023-02-17,25-49,91.03,90.08,65.45
Ireland,2023-02-17,50-59,100.7,100.24,88.26
Ireland,2023-02-17,60-69,102.31,101.72,95.49
Ireland,2023-02-17,70-79,111.29,110.68,106.78
Ireland,2023-02-17,80+,123.27,121.76,113.9
Italy,2023-02-10,0-17,46.33,50.1,20.44
Italy,2023-02-10,18-24,93.9,90.49,84.46
Italy,2023-02-10,25-49,88.85,85.53,79.06
Italy,2023-02-10,50-59,92.79,89.97,87.74
Italy,2023-02-10,60-69,95.03,92.75,92.76
Italy,2023-02-10,70-79,95.62,93.27,93.3
Italy,2023-02-10,80+,99.54,96.95,93.35
Japan,2023-02-22,0-5,2.79,2.37,0.6
Japan,2023-02-22,12-64,89.39,87.86,67.71
Japan,2023-02-22,5-11,23.29,22.45,8.58
Japan,2023-02-22,65+,91.99,91.77,90.52
Japan,2023-02-23,0-5,2.79,2.37,0.6
Japan,2023-02-23,12-64,89.39,87.86,67.71
Japan,2023-02-23,5-11,23.29,22.45,8.59
Japan,2023-02-23,65+,91.99,91.77,90.52
Latvia,2023-02-10,15-17,72.59,69.52,1.81
Latvia,2023-02-10,18-24,85.17,83.12,26.79
Latvia,2023-02-10,25-49,83.25,80.89,31.22
Latvia,2023-02-10,50-59,84.8,82.45,35.61
Latvia,2023-02-10,60-69,84.1,82.33,42.43
Latvia,2023-02-10,70-79,79.0,77.7,46.77
Latvia,2023-02-10,80+,66.71,66.29,39.38
Liechtenstein,2023-02-03,10-14,34.8,32.81,5.7
Liechtenstein,2023-02-03,15-17,72.68,71.31,28.01
Liechtenstein,2023-02-03,18-24,74.28,72.72,41.12
Liechtenstein,2023-02-03,25-49,71.74,70.96,45.11
Liechtenstein,2023-02-03,5-9,8.11,5.99,0.0
Liechtenstein,2023-02-03,50-59,77.04,76.83,59.25
Liechtenstein,2023-02-03,60-69,81.98,81.24,68.44
Liechtenstein,2023-02-03,70-79,90.89,90.54,82.04
Liechtenstein,2023-02-03,80+,94.97,94.59,84.09
Lithuania,2023-02-03,0-4,0.03,0.0,0.0
Lithuania,2023-02-03,10-14,27.06,24.71,0.39
Lithuania,2023-02-03,15-17,63.02,59.75,1.94
Lithuania,2023-02-03,18-24,80.42,77.62,27.56
Lithuania,2023-02-03,25-49,82.23,80.11,31.89
Lithuania,2023-02-03,5-9,3.78,2.61,0.0
Lithuania,2023-02-03,50-59,82.76,80.88,37.78
Lithuania,2023-02-03,60-69,84.06,82.65,49.98
Lithuania,2023-02-03,70-79,82.0,80.78,58.13
Lithuania,2023-02-03,80+,65.29,64.6,46.66
Lithuania,2023-02-10,0-4,0.03,0.0,0.0
Lithuania,2023-02-10,10-14,27.07,24.71,0.39
Lithuania,2023-02-10,15-17,63.02,59.75,1.95
Lithuania,2023-02-10,18-24,80.42,77.62,27.57
Lithuania,2023-02-10,25-49,82.23,80.11,31.89
Lithuania,2023-02-10,5-9,3.78,2.61,0.0
Lithuania,2023-02-10,50-59,82.77,80.88,37.78
Lithuania,2023-02-10,60-69,84.06,82.65,49.98
Lithuania,2023-02-10,70-79,82.0,80.78,58.13
Lithuania,2023-02-10,80+,65.29,64.6,46.66
Luxembourg,2023-02-17,10-14,60.1,57.27,24.75
Luxembourg,2023-02-17,15-17,84.89,82.78,51.45
Luxembourg,2023-02-17,18-24,75.98,74.81,50.91
Luxembourg,2023-02-17,25-49,78.65,77.66,59.93
Luxembourg,2023-02-17,5-9,19.45,16.8,0.01
Luxembourg,2023-02-17,50-59,85.36,84.82,75.43
Luxembourg,2023-02-17,60-69,88.75,88.36,82.73
Luxembourg,2023-02-17,70-79,91.11,90.56,85.77
Luxembourg,2023-02-17,80+,100.4,99.29,91.46
Malta,2023-02-03,0-17,47.7,45.4,0.47
Malta,2023-02-03,18-24,93.54,92.83,67.94
Malta,2023-02-03,25-49,93.05,93.03,77.69
Malta,2023-02-03,50-59,91.89,90.44,90.03
Malta,2023-02-03,60-69,96.15,93.71,95.3
Malta,2023-02-03,70-79,101.41,99.89,80.8
Malta,2023-02-03,80+,102.4,101.61,80.58
Norway,2023-02-03,0-17,31.31,13.29,0.0
Norway,2023-02-03,18-24,92.39,87.84,48.07
Norway,2023-02-03,25-49,90.02,87.01,56.26
Norway,2023-02-03,50-59,95.39,94.33,81.62
Norway,2023-02-03,60-69,97.1,96.85,90.35
Norway,2023-02-03,70-79,98.9,99.09,96.08
Norway,2023-02-03,80+,96.24,96.06,92.6
Peru,2023-02-18,0-17,71.35,60.9,24.3
Peru,2023-02-18,18-24,100.68,95.98,80.97
Peru,2023-02-18,25-49,97.4,94.07,80.84
Peru,2023-02-18,50-59,96.14,94.08,83.65
Peru,2023-02-18,60-69,96.4,94.7,86.13
Peru,2023-02-18,70-79,96.6,95.07,89.1
Peru,2023-02-18,80+,92.76,90.58,81.54
Peru,2023-02-23,0-17,71.37,60.92,24.32
Peru,2023-02-23,18-24,100.68,95.98,80.98
Peru,2023-02-23,25-49,97.4,94.07,80.85
Peru,2023-02-23,50-59,96.14,94.08,83.65
Peru,2023-02-23,60-69,96.4,94.7,86.14
Peru,2023-02-23,70-79,96.6,95.07,89.11
Peru,2023-02-23,80+,92.76,90.58,81.56
Poland,2023-02-10,0-4,0.16,0.08,0.0
Poland,2023-02-10,10-14,39.75,38.03,5.24
Poland,2023-02-10,15-17,55.57,54.65,13.95
Poland,2023-02-10,18-24,59.73,58.61,19.88
Poland,2023-02-10,25-49,61.91,61.14,27.81
Poland,2023-02-10,5-9,19.61,17.59,0.66
Poland,2023-02-10,50-59,70.02,69.48,43.21
Poland,2023-02-10,60-69,75.95,75.64,55.96
Poland,2023-02-10,70-79,82.15,82.53,70.15
Poland,2023-02-10,80+,66.72,66.44,51.74
Portugal,2023-02-10,10-14,88.86,73.97,0.68
Portugal,2023-02-10,15-17,96.31,85.5,1.69
Portugal,2023-02-10,18-24,99.98,88.02,56.79
Portugal,2023-02-10,25-49,100.81,91.17,69.26
Portugal,2023-02-10,5-9,55.83,33.12,0.16
Portugal,2023-02-10,50-59,101.36,94.81,88.9
Portugal,2023-02-10,60-69,104.03,98.03,96.78
Portugal,2023-02-10,70-79,105.78,101.55,101.43
Portugal,2023-02-10,80+,103.42,97.23,98.87
Romania,2023-02-03,0-17,7.4,7.1,0.4
Romania,2023-02-03,18-24,50.28,49.92,7.07
Romania,2023-02-03,25-49,51.47,51.38,9.52
Romania,2023-02-03,50-59,55.93,55.99,13.54
Romania,2023-02-03,60-69,54.26,54.09,15.29
Romania,2023-02-03,70-79,47.63,47.49,14.33
Romania,2023-02-03,80+,26.78,26.52,8.04
Slovenia,2023-02-03,0-17,11.7,10.99,0.42
Slovenia,2023-02-03,18-24,60.88,58.89,18.61
Slovenia,2023-02-03,25-49,59.32,57.24,22.69
Slovenia,2023-02-03,50-59,72.12,70.33,39.89
Slovenia,2023-02-03,60-69,77.61,76.63,54.65
Slovenia,2023-02-03,70-79,84.19,83.5,66.84
Slovenia,2023-02-03,80+,74.08,73.53,58.62
Spain,2023-02-03,10-14,85.13,75.86,0.74
Spain,2023-02-03,15-17,92.37,79.24,3.42
Spain,2023-02-03,18-24,89.44,73.39,35.97
Spain,2023-02-03,25-49,88.58,79.18,50.57
Spain,2023-02-03,5-9,57.77,32.17,0.0
Spain,2023-02-03,50-59,95.01,88.38,76.89
Spain,2023-02-03,60-69,96.95,92.8,91.64
Spain,2023-02-03,70-79,99.32,98.75,94.54
Spain,2023-02-03,80+,102.39,101.33,92.82
Sweden,2023-02-03,15-17,80.65,75.94,6.35
Sweden,2023-02-03,18-24,83.48,79.51,41.63
Sweden,2023-02-03,25-49,83.65,81.34,53.37
Sweden,2023-02-03,50-59,91.38,90.66,76.85
Sweden,2023-02-03,60-69,93.12,92.69,86.01
Sweden,2023-02-03,70-79,95.75,95.58,92.67
Sweden,2023-02-03,80+,93.02,94.03,92.12
Switzerland,2023-02-26,0-9,3.7,2.88,
Switzerland,2023-02-26,10-19,50.39,48.66,
Switzerland,2023-02-26,20-29,73.44,72.31,
Switzerland,2023-02-26,30-39,73.67,72.68,
Switzerland,2023-02-26,40-49,77.95,77.1,
Switzerland,2023-02-26,50-59,81.28,80.52,
Switzerland,2023-02-26,60-69,84.84,84.18,
Switzerland,2023-02-26,70-79,90.61,89.97,
Switzerland,2023-02-26,80+,93.08,91.83,